DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
20,11,2012,12,13,0,0,13,0,7765,
20,11,2012,13,14,0.06,8,14,0,7766,
20,11,2012,14,15,0,0,15,0,7767,
20,11,2012,15,16,0,0,16,0,7768,
20,11,2012,16,17,0,0,17,0,7769,
20,11,2012,17,18,0,0,18,0,7770,
20,11,2012,18,19,0,0,19,0,7771,
20,11,2012,19,20,0,0,20,0,7772,
20,11,2012,20,21,0,0,21,0,7773,
20,11,2012,21,22,0,0,22,0,7774,
20,11,2012,22,23,0,0,23,0,7775,
20,11,2012,23,24,0,0,24,0,7776,
21,11,2012,0,1,0,0,1,0,7777,
21,11,2012,1,2,0,0,2,0,7778,
21,11,2012,2,3,0,0,3,0,7779,
21,11,2012,3,4,0,0,4,0,7780,
21,11,2012,4,5,0,0,5,0,7781,
21,11,2012,5,6,0,0,6,0,7782,
21,11,2012,6,7,0,0,7,0,7783,
21,11,2012,7,8,0,0,8,0,7784,
21,11,2012,8,9,0,0,9,0,7785,
21,11,2012,9,10,0,0,10,0,7786,
21,11,2012,10,11,0,0,11,0,7787,
21,11,2012,11,12,0,0,12,0,7788,
21,11,2012,12,13,0,0,13,0,7789,
21,11,2012,13,14,0,0,14,0,7790,
21,11,2012,14,15,0,0,15,0,7791,
21,11,2012,15,16,0,0,16,0,7792,
21,11,2012,16,17,0,0,17,0,7793,
21,11,2012,17,18,0,0,18,0,7794,
21,11,2012,18,19,0,0,19,0,7795,
21,11,2012,19,20,0,0,20,0,7796,
21,11,2012,20,21,0,0,21,0,7797,
21,11,2012,21,22,0,0,22,0,7798,
21,11,2012,22,23,0,0,23,0,7799,
21,11,2012,23,24,0,0,24,0,7800,
22,11,2012,0,1,0,0,1,0,7801,
22,11,2012,1,2,0,0,2,0,7802,
22,11,2012,2,3,0,0,3,0,7803,
22,11,2012,3,4,0,0,4,0,7804,
22,11,2012,4,5,0,0,5,0,7805,
22,11,2012,5,6,0,0,6,0,7806,
22,11,2012,6,7,0,0,7,0,7807,
22,11,2012,7,8,0,0,8,0,7808,
22,11,2012,8,9,0,0,9,0,7809,
22,11,2012,9,10,0,0,10,0,7810,
22,11,2012,10,11,0,0,11,0,7811,
22,11,2012,11,12,0,0,12,0,7812,
22,11,2012,12,13,0.34,45,13,0,7813,
22,11,2012,13,14,0,0,14,0,7814,
22,11,2012,14,15,0,0,15,0,7815,
22,11,2012,15,16,0,0,16,0,7816,
22,11,2012,16,17,0,0,17,0,7817,
22,11,2012,17,18,0,0,18,0,7818,
22,11,2012,18,19,0,0,19,0,7819,
22,11,2012,19,20,0,0,20,0,7820,
22,11,2012,20,21,0,0,21,0,7821,
22,11,2012,21,22,0,0,22,0,7822,
22,11,2012,22,23,0,0,23,0,7823,
22,11,2012,23,24,0,0,24,0,7824,
23,11,2012,0,1,0,0,1,0,7825,
23,11,2012,1,2,0,0,2,0,7826,
23,11,2012,2,3,0,0,3,0,7827,
23,11,2012,3,4,0,0,4,0,7828,
23,11,2012,4,5,0,0,5,0,7829,
23,11,2012,5,6,0,0,6,0,7830,
23,11,2012,6,7,0,0,7,0,7831,
23,11,2012,7,8,0,0,8,0,7832,
23,11,2012,8,9,0,0,9,0,7833,
23,11,2012,9,10,0,0,10,0,7834,
23,11,2012,10,11,0,0,11,0,7835,
23,11,2012,11,12,0,0,12,0,7836,
23,11,2012,12,13,0,0,13,0,7837,
23,11,2012,13,14,0,0,14,0,7838,
23,11,2012,14,15,0,0,15,0,7839,
23,11,2012,15,16,0,0,16,0,7840,
23,11,2012,16,17,0,0,17,0,7841,
23,11,2012,17,18,0,0,18,0,7842,
23,11,2012,18,19,0,0,19,0,7843,
23,11,2012,19,20,0,0,20,0,7844,
23,11,2012,20,21,0,0,21,0,7845,
23,11,2012,21,22,0,0,22,0,7846,
23,11,2012,22,23,0,0,23,0,7847,
23,11,2012,23,24,0,0,24,0,7848,
24,11,2012,0,1,0,0,1,0,7849,
24,11,2012,1,2,0,0,2,0,7850,
24,11,2012,2,3,0,0,3,0,7851,
24,11,2012,3,4,0,0,4,0,7852,
24,11,2012,4,5,0,0,5,0,7853,
24,11,2012,5,6,0,0,6,0,7854,
24,11,2012,6,7,0,0,7,0,7855,
24,11,2012,7,8,0,0,8,0,7856,
24,11,2012,8,9,0,0,9,0,7857,
24,11,2012,9,10,0,0,10,0,7858,
24,11,2012,10,11,0,0,11,0,7859,
24,11,2012,11,12,0,0,12,0,7860,
24,11,2012,12,13,0,0,13,0,7861,
24,11,2012,13,14,0,0,14,0,7862,
24,11,2012,14,15,0,0,15,0,7863,
24,11,2012,15,16,0,0,16,0,7864,
24,11,2012,16,17,0,0,17,0,7865,
24,11,2012,17,18,0,0,18,0,7866,
24,11,2012,18,19,0,0,19,0,7867,
24,11,2012,19,20,0,0,20,0,7868,
24,11,2012,20,21,0,0,21,0,7869,
24,11,2012,21,22,0,0,22,0,7870,
24,11,2012,22,23,0,0,23,0,7871,
24,11,2012,23,24,0,0,24,0,7872,
25,11,2012,0,1,0,0,1,0,7873,
25,11,2012,1,2,0,0,2,0,7874,
25,11,2012,2,3,0,0,3,0,7875,
25,11,2012,3,4,0,0,4,0,7876,
25,11,2012,4,5,0,0,5,0,7877,
25,11,2012,5,6,0,0,6,0,7878,
25,11,2012,6,7,0,0,7,0,7879,
25,11,2012,7,8,0,0,8,0,7880,
25,11,2012,8,9,0,0,9,0,7881,
25,11,2012,9,10,0,0,10,0,7882,
25,11,2012,10,11,0,0,11,0,7883,
25,11,2012,11,12,0,0,12,0,7884,
25,11,2012,12,13,0,0,13,0,7885,
25,11,2012,13,14,0,0,14,0,7886,
25,11,2012,14,15,0,0,15,0,7887,
25,11,2012,15,16,0,0,16,0,7888,
25,11,2012,16,17,0,0,17,0,7889,
25,11,2012,17,18,0,0,18,0,7890,
25,11,2012,18,19,0,0,19,0,7891,
25,11,2012,19,20,0,0,20,0,7892,
25,11,2012,20,21,0,0,21,0,7893,
25,11,2012,21,22,0,0,22,0,7894,
25,11,2012,22,23,0,0,23,0,7895,
25,11,2012,23,24,0,0,24,0,7896,
26,11,2012,0,1,0,0,1,0,7897,
26,11,2012,1,2,0,0,2,0,7898,
26,11,2012,2,3,0,0,3,0,7899,
26,11,2012,3,4,0,0,4,0,7900,
26,11,2012,4,5,0,0,5,0,7901,
26,11,2012,5,6,0,0,6,0,7902,
26,11,2012,6,7,0,0,7,0,7903,
26,11,2012,7,8,0,0,8,0,7904,
26,11,2012,8,9,0,0,9,0,7905,
26,11,2012,9,10,0,0,10,0,7906,
26,11,2012,10,11,0,0,11,0,7907,
26,11,2012,11,12,0,0,12,0,7908,
26,11,2012,12,13,0,0,13,0,7909,
26,11,2012,13,14,0,0,14,0,7910,
26,11,2012,14,15,0,0,15,0,7911,
26,11,2012,15,16,0,0,16,0,7912,
26,11,2012,16,17,0,0,17,0,7913,
26,11,2012,17,18,0,0,18,0,7914,
26,11,2012,18,19,0,0,19,0,7915,
26,11,2012,19,20,0,0,20,0,7916,
26,11,2012,20,21,0,0,21,0,7917,
26,11,2012,21,22,0,0,22,0,7918,
26,11,2012,22,23,0,0,23,0,7919,
26,11,2012,23,24,0,0,24,0,7920,
27,11,2012,0,1,0,0,1,0,7921,
27,11,2012,1,2,0,0,2,0,7922,
27,11,2012,2,3,0,0,3,0,7923,
27,11,2012,3,4,0,0,4,0,7924,
27,11,2012,4,5,0,0,5,0,7925,
27,11,2012,5,6,0,0,6,0,7926,
27,11,2012,6,7,0,0,7,0,7927,
27,11,2012,7,8,0,0,8,0,7928,
27,11,2012,8,9,0,0,9,0,7929,
27,11,2012,9,10,0,0,10,0,7930,
27,11,2012,10,11,0,0,11,0,7931,
27,11,2012,11,12,0,0,12,0,7932,
27,11,2012,12,13,0,0,13,0,7933,
27,11,2012,13,14,0,0,14,0,7934,
27,11,2012,14,15,0,0,15,0,7935,
27,11,2012,15,16,0,0,16,0,7936,
27,11,2012,16,17,0,0,17,0,7937,
27,11,2012,17,18,0,0,18,0,7938,
27,11,2012,18,19,0,0,19,0,7939,
27,11,2012,19,20,0,0,20,0,7940,
27,11,2012,20,21,0,0,21,0,7941,
27,11,2012,21,22,0,0,22,0,7942,
27,11,2012,22,23,0,0,23,0,7943,
27,11,2012,23,24,0,0,24,0,7944,
28,11,2012,0,1,0,0,1,0,7945,
28,11,2012,1,2,0,0,2,0,7946,
28,11,2012,2,3,0,0,3,0,7947,
28,11,2012,3,4,0,0,4,0,7948,
28,11,2012,4,5,0,0,5,0,7949,
28,11,2012,5,6,0,0,6,0,7950,
28,11,2012,6,7,0,0,7,0,7951,
28,11,2012,7,8,0,0,8,0,7952,
28,11,2012,8,9,0,0,9,0,7953,
28,11,2012,9,10,0,0,10,0,7954,
28,11,2012,10,11,0,0,11,0,7955,
28,11,2012,11,12,0,0,12,0,7956,
28,11,2012,12,13,0,0,13,0,7957,
28,11,2012,13,14,0,0,14,0,7958,
28,11,2012,14,15,0,0,15,0,7959,
28,11,2012,15,16,0,0,16,0,7960,
28,11,2012,16,17,0,0,17,0,7961,
28,11,2012,17,18,0,0,18,0,7962,
28,11,2012,18,19,0,0,19,0,7963,
28,11,2012,19,20,0,0,20,0,7964,
28,11,2012,20,21,0,0,21,0,7965,
28,11,2012,21,22,0,0,22,0,7966,
28,11,2012,22,23,0,0,23,0,7967,
28,11,2012,23,24,0,0,24,0,7968,
29,11,2012,0,1,0,0,1,0,7969,
29,11,2012,1,2,0,0,2,0,7970,
29,11,2012,2,3,0,0,3,0,7971,
29,11,2012,3,4,0,0,4,0,7972,
29,11,2012,4,5,0,0,5,0,7973,
29,11,2012,5,6,0,0,6,0,7974,
29,11,2012,6,7,0,0,7,0,7975,
29,11,2012,7,8,0,0,8,0,7976,
29,11,2012,8,9,0,0,9,0,7977,
29,11,2012,9,10,0,0,10,0,7978,
29,11,2012,10,11,0,0,11,0,7979,
29,11,2012,11,12,0,0,12,0,7980,
